path,problem,solution,grid_size,num_colors
9x9_8c_5_2af3ded9.txt,"....F....
.B.F..E.A
.....C...
.....G...
.D.GH..C.
.....B...
..E.H...D
.........
.A.......","AAAFFAAAA
ABAFAAEEA
ABAAACCEE
ABBGGGCCE
ADBGHHHCE
ADBBBBHEE
ADEEHHHED
ADDEEEEED
AADDDDDDD",9x9,8
9x9_9c_10_f029a480.txt,".....E...
....I..D.
..G...B..
..F.F....
......D..
..CE...A.
.C...HB..
...I..H..
A.......G","EEEEEEGGG
EIIIIGGDG
EIGGGGBDG
EIFFFBBDG
EIIIIBDDG
ECCEIBBAG
ECEEIHBAG
EEEIIHHAG
AAAAAAAAG",9x9,9
8x8_8c_10_83d92d01.txt,"D...H...
..E..DC.
........
..A....H
.C......
..GB....
F..E..GA
....F..B","DDDDHHHH
EEEDDDCH
ECCCCCCH
ECAAAAAH
ECGGGGAA
EEGBBGGA
FEEEBBGA
FFFFFBBB",8x8,8
6x6_4c_7_145c5d4f.txt,".....B
..AC..
.....C
...D..
.AB.D.
......","BBBBBB
BAACCC
BABBBC
BABDBB
BABDDB
BBBBBB",6x6,4
6x6_5c_4_25f9a72a.txt,"C.D...
....B.
...B..
....E.
C.A..E
D....A","CDDEEE
CDEEBE
CDEBBE
CDEEEE
CDAEEE
DDAAAA",6x6,5
5x5_4c_2_904e33b2.txt,".....
.D.AB
B.ADC
C....
.....","BBBBB
BDAAB
BDADC
CDDDC
CCCCC",5x5,4
5x5_3c_5_87fc29c5.txt,"...A.
.C.B.
..B..
..C..
....A","BBBAA
BCBBA
BCBBA
BCCBA
BBBBA",5x5,3
7x7_5c_1_629a2f5e.txt,"...CD..
.AB..A.
....D..
.......
.......
.....B.
CE.E...","CCCCDDD
CABAAAD
CABADDD
CABAAAA
CABBBBA
CAAAABA
CEEEAAA",7x7,5
7x7_7c_9_d249fa1f.txt,"......G
G....FD
...A...
C......
..C....
AE..FE.
B.B...D","GGGGGGG
GCCCCFD
CCAACFD
CAACCFD
AACCFFD
AEEEFED
BBBEEED",7x7,7
5x5_5c_3_22075c83.txt,"C...C
..EDA
.....
.DEBA
....B","CCCCC
EEEDA
EDDDA
EDEBA
EEEBB",5x5,5
6x6_6c_7_3a68d0e8.txt,"BA...A
..E...
..D.F.
..F..D
..C.CE
B.....","BAAAAA
BEEDDD
BEDDFD
BEFFFD
BECCCE
BEEEEE",6x6,6
7x7_6c_1_21b01e0e.txt,"...AF..
A......
C.D.B..
.......
.DE...F
....B..
.....CE","AAAAFFF
AEEEEEF
CEDDBEF
CEEDBEF
CDEDBEF
CDDDBEE
CCCCCCE",7x7,6
6x6_4c_4_f296c06e.txt,"......
......
...B.D
...C..
.....A
DA.B.C","DDDDDD
DAAAAD
DABBAD
DABCAA
DABCCA
DABBCC",6x6,4
9x9_8c_1_306fbd00.txt,".....B...
H......G.
..A.....B
....F..GD
E......H.
...E.....
.DF...A..
....C..C.
.........","HHHHHBBBB
HEEEHHHGB
EEAEEEHGB
EAAFFEHGD
EAFFEEHHD
AAFEEDDDD
ADFDDDAAA
ADDDCCCCA
AAAAAAAAA",9x9,8
5x5_5c_4_a482332b.txt,"E.DA.
C..B.
.....
..D..
C.EBA","EEDAA
CEDBA
CEDBA
CEDBA
CEEBA",5x5,5
9x9_7c_4_207aef04.txt,"E......G.
B........
.F..A.D..
...B.....
.........
...C..D..
.........
...E...C.
.F..AG...","EEEEEEEGG
BBBBBBEEG
FFAAABDEG
FAABBBDEG
FAEEEEDEG
FAECCEDEG
FAEECEEEG
FAAECCCCG
FFAAAGGGG",9x9,7
7x7_7c_4_ae0f223a.txt,".....EG
.D.....
....CE.
A....F.
B..CD..
....A..
BF....G","CCCCCEG
CDDDCEG
CCCDCEG
AACDDFG
BACCDFG
BAAAAFG
BFFFFFG",7x7,7
6x6_4c_9_7e2f1ba3.txt,"D.....
..A.A.
......
....BC
.D..C.
.....B","DDDDDD
DDAAAD
DDDDDD
DDDBBC
DDDBCC
DDDBBB",6x6,4
5x5_4c_1_812f5e6a.txt,"AB...
...C.
DA...
.C.BD
.....","ABBBB
AACCB
DACBB
DCCBD
DDDDD",5x5,4
7x7_6c_3_ad1343f0.txt,"AC..D..
..B....
A....C.
E..E...
..D....
..BF.F.
.......","ACCCDDD
ABBCCCD
ABDDDCD
EBDEDDD
EBDEEEE
EBBFFFE
EEEEEEE",7x7,6
7x7_5c_9_9adff41d.txt,"C..AB.D
..E.E..
..C....
...A...
.......
B......
D......","CAAABBD
CAEEEBD
CACCCBD
CAAACBD
CCCCCBD
BBBBBBD
DDDDDDD",7x7,5
5x5_5c_2_22075c83.txt,"C...C
..EDA
.....
.DEBA
....B","CCCCC
EEEDA
EDDDA
EDEBA
EEEBB",5x5,5
7x7_7c_7_96ca9115.txt,"F.....D
.B.....
B..E.F.
..A....
....DG.
.AE....
.GC...C","FFFFFFD
BBGGGFD
BGGEGFD
GGAEGGD
GAAEDGD
GAEEDDD
GGCCCCC",7x7,7
7x7_7c_2_782c2792.txt,".......
....ED.
B.G....
..AFG..
E...D..
A....C.
F..C.B.","BBBBBBB
BEEEEDB
BEGGGDB
EEAFGDB
EAAFDDB
AAFFCCB
FFFCCBB",7x7,7
7x7_5c_3_629a2f5e.txt,"...CD..
.AB..A.
....D..
.......
.......
.....B.
CE.E...","CCCCDDD
CABAAAD
CABADDD
CABAAAA
CABBBBA
CAAAABA
CEEEAAA",7x7,5
6x6_4c_3_f296c06e.txt,"......
......
...B.D
...C..
.....A
DA.B.C","DDDDDD
DAAAAD
DABBAD
DABCAA
DABCCA
DABBCC",6x6,4
7x7_6c_3_d5cc36f7.txt,"B.....D
.C..F.F
C......
..AD.E.
.A.....
.B..E..
.......","BBBDDDD
CCBDFFF
CBBDBBB
BBADBEB
BAABBEB
BBBBEEB
BBBBBBB",7x7,6
7x7_5c_5_d45b6049.txt,"......D
.A.....
D....C.
..A....
.......
.E...B.
.CBE...","DDDDDDD
DAAAAAA
DCCCCCA
CCAAAAA
CEEEEEE
CEBBBBE
CCBEEEE",7x7,5
9x9_7c_9_a6b69ac4.txt,"...C.....
.G..D....
....E.FD.
.......F.
....E.AC.
.......B.
.......G.
.........
..AB.....","AAACCCCCC
AGADDDDDC
AGADEDFDC
AGADEDFFC
AGADEDACC
AGADDDABB
AGAAAAAGB
AGGGGGGGB
AAABBBBBB",9x9,7
8x8_6c_4_271db818.txt,"CD.....D
....C...
....E.B.
.A..F...
....B...
....E...
.AF.....
........","CDDDDDDD
CCCCCEEE
EEEEEEBE
EAFFFEBE
EAFBBEBE
EAFBEEBE
EAFBBBBE
EEEEEEEE",8x8,6
5x5_3c_8_87fc29c5.txt,"...A.
.C.B.
..B..
..C..
....A","BBBAA
BCBBA
BCBBA
BCCBA
BBBBA",5x5,3
8x8_7c_1_172e1fee.txt,"...GA...
......E.
.B.....A
.E.F....
......C.
FG...B..
....C...
D.D.....","GGGGAAAA
GBBBBBEA
GBEEEBEA
GEEFEBEE
GGFFEBCE
FGFEEBCE
FFFECCCE
DDDEEEEE",8x8,7
7x7_5c_1_26f5cc22.txt,"DE.B...
.....C.
....C..
.......
....B..
...A.A.
.D.E...","DEBBAAA
DEBAACA
DEBACCA
DEBAAAA
DEBBBAA
DEEAAAA
DDEEAAA",7x7,5
9x9_9c_6_a4b5019b.txt,"...AB...C
...H.....
..I....EB
....C....
.......G.
.........
..GF.FI..
.H......E
.AD.....D","AAAABCCCC
AHHHBCBBB
AHIBBCBEB
AHIBCCBEE
AHIBBBBGE
AHIIIIIGE
AHGFFFIGE
AHGGGGGGE
AADDDDDDD",9x9,9
6x6_4c_10_f296c06e.txt,"......
......
...B.D
...C..
.....A
DA.B.C","DDDDDD
DAAAAD
DABBAD
DABCAA
DABCCA
DABBCC",6x6,4
7x7_5c_2_26f5cc22.txt,"DE.B...
.....C.
....C..
.......
....B..
...A.A.
.D.E...","DEBBAAA
DEBAACA
DEBACCA
DEBAAAA
DEBBBAA
DEEAAAA
DDEEAAA",7x7,5
